INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_NO,CATEGORY_NAME,SYSTEM_TYPE,CATEGORY_ORDER
,,,,,,,,0,1,"権限",0,1
,,,,,,,,0,2,"個人情報",0,2
,,,,,,,,0,3,"社員",0,3
,,,,,,,,0,4,"ポータル",0,4
,,,,,,,,0,6,"システム",0,6
,,,,,,,,0,251,"就業規則",1,1
,,,,,,,,0,252,"休暇",1,2
,,,,,,,,0,253,"勤務予定",1,3
,,,,,,,,0,254,"勤務予定の項目",1,4
,,,,,,,,0,255,"勤務実績",1,5
,,,,,,,,0,256,"勤務実績の項目",1,6
,,,,,,,,0,257,"就業打刻",1,7
,,,,,,,,0,258,"就業計算",1,8
,,,,,,,,0,259,"就業集計",1,9
,,,,,,,,0,260,"申請",1,10
,,,,,,,,0,500,"スマホ",1,11
